video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=lUNASfS4vzE&pp=ygUHbGVmdGlzdA%3D%3D,/@TheOfficerTatum,The Officer Tatum,Leftist Starbucks Employee TRIES TO BAN ICE and it INSTANTLY BACKFIRES!,418K,1 day,A leftist Starbucks employee thought they could flex their politics by trying to ban ICE — and it instantly blew up in their face.,2026-01-20 20:36:59.649510
/shorts/6_2BHBEOAEo,/@turningpointusa,Turning Point USA,The Walking Definition of a Leftist 😳📘,8.4M,9 months,charliekirk #debate #2025 #trending #viral #politics #america #college #turningpointusa #leftist.,2026-01-20 20:36:59.653457
/shorts/XpuQVcW4Ris,/@MegynKelly,Megyn Kelly,"Megyn Kelly Reacts to More Crazy Leftists Talking Killing ICE Agents and Promising ""War"" is Coming",138K,6 days,Megyn Kelly reacts to more crazy leftists talking killing ICE agents and promising “war” is coming. LIKE & SUBSCRIBE for new ...,2026-01-20 20:36:59.654959
/shorts/H-lE45ZhpBw,/@Olmecrespite,Olmec Respite Channel ,Liberal vs. Leftist: Key Differences Explained,2.2K,7 months,"Explore the distinctions between liberal and leftist ideologies, focusing on critiques of capitalism, empire, and the Democratic ...",2026-01-20 20:36:59.657423
/watch?v=BjQHuBvdyNg&pp=ygUHbGVmdGlzdA%3D%3D,/@iammrbeat,Mr. Beat,Political Spectrums Explained — Why is there a left wing and right wing?,1.9M,6 years,Mr. Beat and Mr. Barris explain political spectrums and why the whole left versus right paradigm does more harm than good.,2026-01-20 20:36:59.660988
/shorts/X5xziwl_LA8,/@TheIcedCoffeeHour,The Iced Coffee Hour,"The Difference Between Liberal, Leftist, & Progressive",515K,1 year,Full Vid: https://youtu.be/Eck9JwSeTI0?si=PQVkokLfxa59BpTa NEW: Join us at http://www.icedcoffeehour.club for premium ...,2026-01-20 20:36:59.663895
/watch?v=wBc9XkuOqnU&pp=ygUHbGVmdGlzdA%3D%3D,/@SteviJewel,Stevi,I'm Leaving the Left,328K,4 months,https://x.com/heyitsstevi?s=21 Time stamps: 00:00 Why I was a leftist 01:25 Conditional Equality 02:20 Charlie Kirk 03:37 ...,2026-01-20 20:36:59.667281
/shorts/2lPOhfB1NuM,/@turningpointusa,Turning Point USA,He’s Everything Wrong with the Left 🙃,5.9M,5 months,leftist #charliekirk #2025 #politics #trending #viralvideo #usa #debate #protest.,2026-01-20 20:36:59.670687
/watch?v=OqYDHuUKQPk&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@StevenCrowder,StevenCrowder,The Left is Violent | Change My Mind,3.2M,3 months,"And, we're back. Steven brings Change My Mind to the SMU campus to discuss political violence and where it comes from.",2026-01-20 20:36:59.672750
/shorts/0yayXL9C-L8,/@MegynKelly,Megyn Kelly,Megyn Kelly and Adam Carolla React To Lunatic Leftist Who Says Trump CAUSED Her Menopause,274K,4 days,Megyn Kelly and Adam Carolla react to lunatic leftist who says Trump caused her menopause. LIKE & SUBSCRIBE for new ...,2026-01-20 20:36:59.676385
/watch?v=-SzsvEO7C3s&pp=ygUHbGVmdGlzdA%3D%3D,/@LFRFAMILY,LFR FAMILY,The HYPOCRISY Nobody's Talking About | Leftist LUNATICS Breaking Their Own Laws,49K,8 days,Get 20% off with promo code LFR20 at Blueterna https://www.blueterna.com/products/ref/17/ LET ME COACH YOU ...,2026-01-20 20:36:59.677789
/watch?v=Vjsv_QMO1V4&pp=ygUHbGVmdGlzdA%3D%3D,/@SecretScholars,Warren Smith - Secret Scholar Society,Leftist ROBBED Live on Camera After Saying White People DESERVE to Be Robbed,330K,4 weeks,"liberal #debate This guy is so captured by ideology, it is difficult to believe this is real. His logic rapidly backfires, and he finds ...",2026-01-20 20:36:59.680195
/watch?v=oCHWFHj9uh8&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@ForbesBreakingNews,Forbes Breaking News,'You're A Left-Wing Hack!': Karoline Leavitt Explodes At Reporter During Interchange About ICE,95K,5 days,"During a press conference on Thursday, White House Press Secretary Karoline Leavitt got into an argument with a reporter about ...",2026-01-20 20:36:59.682368
/shorts/IVCfS_qz9uo,/@turningpointusa,Turning Point USA,The Left Summed Up in One Clip 🙃,13M,5 months,charliekirk #2025 #america #politics #trending #politicaldebate #college #viral.,2026-01-20 20:36:59.684341
/watch?v=5qnwc2v9GNE&pp=ygUHbGVmdGlzdA%3D%3D,/@MattWalsh,Matt Walsh,Leftist Pregnant Women On TikTok Are DOWNING Tylenol Out Of Spite,168K,3 months,Visit https://HomeTitleLock.com/walsh and use code WALSH for a FREE Title History Report and FREE trial of their Million Dollar ...,2026-01-20 20:36:59.686316
/watch?v=K9wa4Q9IrsI&pp=ygUHbGVmdGlzdA%3D%3D,/@AsmonTV,Asmongold TV  ,Why people have rejected the left,1.5M,2 months,Asmongold reacts to @whatever https://www.youtube.com/watch?v=f5HnB9u0zYA ▻ Asmongold's Twitch: ...,2026-01-20 20:36:59.688953
/watch?v=v2Gzii1wXaI&pp=ygUHbGVmdGlzdA%3D%3D,/@LiberalHivemind,Liberal Hivemind,A massive Youtuber just WENT NUCLEAR on the LEFT.,942K,1 month,JOIN US AT: https://www.5mind.com !!! FOLLOW ON X: https://x.com/5MINDX Let's build a FREE SPEECH social media platform ...,2026-01-20 20:36:59.691065
/shorts/vHfbUIQeW_A,/@DANIELSLOSSOFFICIAL,Daniel Sloss,I hate being left wing sometimes,1M,1 year,"From my special SOCIO, available on my website: danielsloss.com.",2026-01-20 20:36:59.693228
/watch?v=Zwg_bWlKxzw&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@jubilee,Jubilee,Gen Z Leftists vs Boomer Democrats | Middle Ground,289K,9 days,Hey you Wanna be in a Jubilee video? https://bit.ly/be-in-a-video LET'S BE FRIENDS Instagram: ...,2026-01-20 20:36:59.697142
/watch?v=HRYpDzh4AHg&pp=ygUHbGVmdGlzdA%3D%3D,/@LexClips,Lex Clips,Leftist vs Socialist vs Liberal vs Progressive: Political terms explained | David Pakman,28K,2 years,Lex Fridman Podcast full episode: https://www.youtube.com/watch?v=2i31fDkaK9A Please support this podcast by checking out ...,2026-01-20 20:36:59.698571
/shorts/YigZhRPArdo,/@VALUETAINMENT,Valuetainment,Liberals vs Leftists: The Real Battle in California,55K,8 months,"California is often labeled a progressive utopia — but what if that's a myth? In this raw political breakdown, we explore why the ...",2026-01-20 20:37:06.127798
/watch?v=5-AP4YjAUgc&pp=ygUHbGVmdGlzdA%3D%3D,/@HarperOC,Harper O'Connor,How the Left Can Win the Media War,94K,4 weeks,Grow a leftist YouTube channel that changes the world: https://www.vanguardstudios.info/ Follow along with my media strategy: ...,2026-01-20 20:37:06.129163
/watch?v=HJLyyjoOOoc&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@TheAmalaEkpunobi,Amala Ekpunobi,Leftist Women Can’t Find Leftist Men To Date,463K,5 months,Left-leaning women are going viral asking why they can't find boyfriends who share their politics. Is there a dating crisis on the left ...,2026-01-20 20:37:06.130901
/watch?v=y9T3ODZ4vno&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@MattWalsh,Matt Walsh,Leftists Are Getting Fired Right And Left For Celebrating Charlie Kirk’s Death. Good.,458K,4 months,"As leftists celebrate Charlies assassination, conservatives are giving them a dose of their own medicine by contacting their ...",2026-01-20 20:37:06.132319
/watch?v=QuN6GfUix7c&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@ContraPoints,ContraPoints,The Left | ContraPoints,1.9M,8 years,This is a fictional dialogue between characters created for philosophical and artistic purposes. I do not necessarily endorse the ...,2026-01-20 20:37:06.134114
/watch?v=cwmHNbRDGQw&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@TheAmalaEkpunobi,Amala Ekpunobi,Venezuelans GO OFF On American Leftist Maduro Supporters,248K,13 days,"Internet leftists have been freaking out over Trump's arrest of Venezuelan dictator Nicolas Maduro, but now actual Venezuelans ...",2026-01-20 20:37:06.135457
/watch?v=GZ0AZhv-8VU&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@nationalreview,National Review,Why The Left Has a Violence Problem,133K,4 months,Rich Lowry explains why there is a tendency towards violence on The Left. Join NRPLUS: ...,2026-01-20 20:37:06.136781
/watch?v=1w7LlzZsoYc&pp=ygUHbGVmdGlzdA%3D%3D,/@SydneyWatson,Sydney Watson,The Left is collapsing.,614K,3 months,Go to https://tryfum.com/SYDNEY or scan the QR code and use code SYDNEY to get your free FÜM Topper when you order your ...,2026-01-20 20:37:06.138131
/shorts/qqmD9_-0mmE,/@MegynKelly,Megyn Kelly,Megyn Kelly Reacts to Leftist Woman Literally Trying to Find a Date By Fighting ICE,487K,5 days,Megyn Kelly reacts to leftist woman literally trying to find a date by fighting ICE. LIKE & SUBSCRIBE for new videos everyday: ...,2026-01-20 20:37:06.139539
/shorts/tPsUhtC7Zks,/@SOC119,SOC 119,Being Brainwashed By The Left #SOC119 #TheLeft #Leftist #Left #Brainwashed #Brainwash #Trump,12K,8 months,Join us live on Tuesdays and Thursdays! https://www.youtube.com/soc119/live Full Lecture Here!,2026-01-20 20:37:06.140814
/shorts/85vbLbiaQys,/@FoxNews,Fox News,Leavitt tears apart reporter as 'left-wing hack' #foxnews #news #us #fox,2.5M,4 days,White House press secretary Karoline Leavitt does not mince words with a reporter after a pointed question regarding the ...,2026-01-20 20:37:06.142154
/watch?v=6MeYG2GYBMw&pp=ygUHbGVmdGlzdA%3D%3D,/@realmishapetrov,Misha Petrov,DERANGED Leftists Celebrate Charlie Kirk’s Assassination,148K,4 months,Charlie Kirk was assassinated at Utah Valley University. Today I am reacting to the disturbing online celebrations from the Far Left ...,2026-01-20 20:37:06.143787
/watch?v=8uU4bVFev-w&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@RubinReport,The Rubin Report,Watch Leftist's Face When Republican Corrects Her Lie with This Fact,23K,5 days,"Dave Rubin of “The Rubin Report” shares a DM clip of Dr. Verma refusing to answer Josh Hawley's simple question ""can men get ...",2026-01-20 20:37:06.145029
/shorts/ZdOW9qJaYKI,/@thedavidpakmanshow,David Pakman Show,Antisemitism on the Far Left and the Far Right #shorts,22K,2 years,Antisemitism on the Far Left and the Far Right --- Become a Member: https://www.davidpakman.com/membership Become a ...,2026-01-20 20:37:06.146732
/watch?v=lhtr77ti7OQ&pp=ygUHbGVmdGlzdA%3D%3D,/@LiberalHivemind,Liberal Hivemind,Students are TURNING on their violent leftist teachers!!,677K,4 months,MERCH: https://teespring.com/stores/liberalhivemind https://www.subscribestar.com/liberalhivemind ...,2026-01-20 20:37:06.149250
/watch?v=igdg8KJp6KM&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@amirxodom,Amir Odom,Why People Are Leaving The Left Political Mindset,462K,3 months,Stop data brokers from exposing your information. Go to my sponsor https://aura.com/amir to get a 14-day free trial and see if your ...,2026-01-20 20:37:06.152254
/shorts/7rm5gZX9oPQ,/@bulwarkmedia,The Bulwark,The left-wing violence that wasn't,23K,2 months,It was a perfect story about disgruntled leftists storming into and attempting to disrupt a Republican event and start a fight...except ...,2026-01-20 20:37:06.153537
/shorts/wDtT9QJcpms,/@thedavidpakmanshow,David Pakman Show,The Difference Between Liberal and Progressive #shorts,69K,2 years,The Difference Between Liberal and Progressive. --- Become a Member: https://www.davidpakman.com/membership Become a ...,2026-01-20 20:37:14.638626
/shorts/8ga6X7VrDI8,/@CampusReform,Campus Reform,Leftist Protestor Threatens To Call Cops On Conservative Reporter (Flashback),2.3M,3 years,Leftist Protestor Threatens To Call The Cops On Conservative Reporter (Flashback) #shorts #leftist #protest #college #campus ...,2026-01-20 20:37:14.640215
/watch?v=lvtZUrpKUlI&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@MoneyMacro,Money & Macro,Why gen-Z men are turning far right and women far left,606K,7 months,Advertising sponsor: Get access to global coverage at an exclusive 20% discount at https://economist.com/moneymacro Further ...,2026-01-20 20:37:14.642196
/watch?v=aNFsx76fGFo&pp=ygUHbGVmdGlzdA%3D%3D,/@sgcarney,Scott Carney,"Why I'm no longer a ""leftist""",11K,9 months,There's no political spectrum. Only political dimensions. It's time to get downist. Get Early Access on Substack ...,2026-01-20 20:37:14.643566
/watch?v=SLmgHUT10ec&pp=ygUHbGVmdGlzdA%3D%3D,/@washingtonexaminer,The Washington Examiner,Iranian protesters expose the leftist-Islamist alliance,5.1K,5 days,"There is a deafening silence on the Left about Iran. Now, in the third week of a popular uprising against tyranny, not a peep of ...",2026-01-20 20:37:14.644894
